make;model;year;mileage;engine_power;fuel_type;gearbox;price
bmw;x1;2021;149998;136;petrol;manual;79900
skoda;octavia;2006;241644;105;diesel;manual;10000
nissan;x-trail;2022;36233;204;hybrid;automatic;132000
mini;clubman;2010;200000;90;diesel;manual;19500
audi;q7;2015;231000;272;diesel;automatic;114999
bmw;x1;2010;218000;177;diesel;manual;29999
jaguar;x-type;2006;251814;230;petrol;automatic;15000
citroen;c5;2015;64005;180;diesel;automatic;45000
mercedes-benz;klasa-a;2008;189000;95;petrol;manual;10700
hyundai;kona;2022;179183;138;petrol;automatic;67998
citroen;c3;2018;73911;68;petrol;manual;31900
honda;civic;2012;232000;150;diesel;manual;23500
peugeot;2008;2015;225000;120;petrol;manual;22000
opel;astra;2009;198000;115;petrol;manual;11950
opel;crossland-x;2019;40233;110;petrol;manual;45000
mercedes-benz;klasa-e;2017;173000;195;diesel;automatic;129000
nissan;qashqai;2017;165137;115;petrol;manual;33000
mazda;cx-5;2021;94900;194;petrol;automatic;104900
audi;a3-sportback;2006;270000;170;diesel;manual;16000
volvo;xc-60;2011;263108;203;petrol;automatic;34500
alfa-romeo;stelvio;2021;47406;280;petrol;automatic;154850
ford;focus;2010;278000;100;petrol;manual;7500
hyundai;i40;2012;106849;115;diesel;manual;30000
renault;clio;2015;155151;90;diesel;manual;21900
toyota;corolla;2016;101400;132;petrol;manual;47900
skoda;octavia;2023;159728;150;petrol;automatic;69999
volvo;s80;2003;349000;130;diesel;manual;11900
toyota;yaris;2018;162000;111;petrol;manual;35900
mercedes-benz;clc;2009;198000;184;petrol;manual;22000
seat;leon;2013;173000;150;diesel;manual;35900
kia;sportage;2017;140065;136;diesel;manual;58900
alfa-romeo;159;2008;209000;140;petrol-lpg;manual;13500
audi;a5-avant;2025;11000;204;petrol;automatic;146000
suzuki;vitara;2020;89000;129;petrol;manual;66900
bmw;seria-3;1996;443100;193;petrol;automatic;28950
seat;alhambra;2012;236548;140;diesel;automatic;32900
